t(ticks); id_viat; destin; t_estacion; t_vida; observ
       0;       1;      S;        100;      0; Encerrado!
       0;       2;      W;        100;      0; Encerrado!
       0;       3;      E;         90;      0; Encerrado!
       0;       4;      S;         80;      0; Encerrado!
       0;       5;      S;         10;      0; Encerrado!
       0;       6;      E;         80;      0; Encerrado!
       1;       7;      W;         70;      1; Encerrado!
       1;       8;      E;         70;      1; Encerrado!
       1;       9;      S;        100;      1; Encerrado!
       1;      10;      N;         70;      1; Encerrado!
       1;      11;      W;         70;      1; Encerrado!
       1;      12;      W;         70;      1; Encerrado!
       1;      13;      E;         20;      1; Encerrado!
       1;      14;      S;         30;      1; Encerrado!
       1;      15;      N;         50;      1; Encerrado!
       1;      16;      E;         10;      1; Encerrado!
       1;      17;      W;         50;      1; Encerrado!
       1;      18;      E;         10;      1; Encerrado!
       1;      19;      E;         20;      1; Encerrado!
       1;      20;      S;        100;      1; Encerrado!
       1;      21;      W;         50;      0; Encerrado!
       1;     103;      N;         30;      0; Encerrado!
       1;      23;      S;         90;      0; Encerrado!
       1;      24;      E;         60;      0; Encerrado!
       2;      25;      W;         40;      1; Encerrado!
       2;      26;      W;         10;      1; Encerrado!
       2;      27;      S;         80;      1; Encerrado!
       2;      28;      S;         60;      1; Encerrado!
       2;      29;      N;         60;      1; Encerrado!
       2;      30;      E;         70;      1; Encerrado!
       2;      31;      E;         60;      1; Encerrado!
       2;      32;      E;         60;      1; Encerrado!
       2;      33;      N;        100;      1; Encerrado!
       2;      34;      W;         40;      1; Encerrado!
       2;      35;      S;         90;      1; Encerrado!
       2;      36;      E;         40;      1; Encerrado!
       2;      37;      S;         10;      1; Encerrado!
       3;      38;      E;         50;      2; Encerrado!
       3;      39;      S;         90;      2; Encerrado!
       3;     235;      E;         70;      0; Encerrado!
       3;     243;      E;         50;      0; Encerrado!
       3;      42;      S;         70;      2; Encerrado!
       3;      43;      S;         90;      2; Encerrado!
       3;      44;      W;         90;      2; Encerrado!
       3;      45;      N;         80;      2; Encerrado!
       3;      46;      W;         80;      2; Encerrado!
       3;      47;      E;         80;      2; Encerrado!
       3;      48;      N;        100;      2; Encerrado!
       3;      49;      W;         90;      2; Encerrado!
       3;      50;      W;         60;      2; Encerrado!
       3;      51;      W;         70;      2; Encerrado!
       3;      52;      N;         30;      2; Encerrado!
       3;      53;      W;         30;      2; Encerrado!
       3;      54;      N;         50;      2; Encerrado!
       3;      55;      W;         80;      2; Encerrado!
       3;      56;      S;         30;      2; Encerrado!
       4;      57;      S;         40;      3; Encerrado!
       4;      58;      E;         30;      3; Encerrado!
       4;      59;      N;         20;      3; Encerrado!
       4;      60;      W;         10;      3; Encerrado!
       4;      61;      S;         10;      3; Encerrado!
       4;      62;      N;        100;      3; Encerrado!
       4;      63;      N;         20;      3; Encerrado!
       4;      65;      W;         40;      3; Encerrado!
       4;      66;      W;         90;      3; Encerrado!
       4;     431;      E;         30;      0; Encerrado!
       4;      67;      S;         20;      3; Encerrado!
       4;      68;      N;         20;      3; Encerrado!
       5;     454;      S;         20;      0; Encerrado!
       5;      70;      S;         40;      4; Encerrado!
       5;      71;      E;         20;      4; Encerrado!
       5;      72;      W;         60;      4; Encerrado!
       5;      73;      E;         50;      4; Encerrado!
       5;      74;      W;        100;      4; Encerrado!
       5;      75;      E;        100;      4; Encerrado!
       5;      76;      N;         50;      4; Encerrado!
       5;      77;      N;        100;      4; Encerrado!
       5;      78;      E;        100;      4; Encerrado!
       5;      79;      N;         60;      4; Encerrado!
       5;      80;      N;         90;      4; Encerrado!
       5;      81;      E;         90;      4; Encerrado!
       5;      82;      S;         70;      4; Encerrado!
       5;      83;      W;         60;      4; Encerrado!
       5;      84;      W;         80;      4; Encerrado!
       5;      85;      W;         20;      4; Encerrado!
       5;      86;      E;         80;      4; Encerrado!
       5;      87;      S;         30;      4; Encerrado!
       5;      88;      N;         10;      4; Encerrado!
       5;      89;      E;        100;      4; Encerrado!
       5;      90;      N;         10;      4; Encerrado!
       6;      91;      S;        100;      5; Encerrado!
       6;      92;      E;         50;      5; Encerrado!
       6;      93;      S;        100;      5; Encerrado!
       6;      94;      E;        100;      5; Encerrado!
       6;      95;      W;         50;      5; Encerrado!
       6;      96;      E;         80;      5; Encerrado!
       6;      97;      W;        100;      5; Encerrado!
       6;      98;      W;         80;      5; Encerrado!
       6;      99;      N;         90;      5; Encerrado!
       6;     100;      N;         30;      5; Encerrado!
       6;     101;      S;        100;      5; Encerrado!
       6;     102;      N;         30;      5; Encerrado!
       6;      22;      N;         50;      5; Encerrado!
       6;     104;      S;         30;      5; Encerrado!
       7;     105;      S;         70;      6; Encerrado!
       7;     106;      W;         30;      6; Encerrado!
       7;     107;      N;         30;      6; Encerrado!
       7;     108;      E;         20;      6; Encerrado!
       7;     109;      W;         60;      6; Encerrado!
       7;     110;      W;         20;      6; Encerrado!
       7;     111;      S;         20;      6; Encerrado!
       7;     112;      S;         20;      6; Encerrado!
       7;     113;      S;         20;      6; Encerrado!
       7;     114;      S;         40;      6; Encerrado!
       7;     115;      W;         80;      6; Encerrado!
       7;     116;      W;         70;      6; Encerrado!
       7;     117;      S;         80;      6; Encerrado!
       7;     819;      E;         10;      0; Encerrado!
       7;     119;      E;         80;      6; Encerrado!
       7;     120;      E;         30;      6; Encerrado!
       7;     121;      W;         70;      6; Encerrado!
       7;     122;      N;         10;      5; Encerrado!
       7;     860;      E;         20;      0; Encerrado!
       7;     868;      E;         60;      0; Encerrado!
       7;     125;      N;         30;      5; Encerrado!
       8;     126;      E;         70;      6; Encerrado!
       8;     127;      W;         70;      6; Encerrado!
       8;     128;      N;         70;      6; Encerrado!
       8;     129;      S;         70;      6; Encerrado!
       8;     130;      N;         70;      6; Encerrado!
       8;     131;      N;         60;      6; Encerrado!
       8;     132;      W;         30;      6; Encerrado!
       8;     133;      N;         80;      6; Encerrado!
       8;     134;      S;         60;      6; Encerrado!
       8;     135;      W;         20;      6; Encerrado!
       8;     136;      E;        100;      6; Encerrado!
       8;     137;      W;         90;      6; Encerrado!
       8;     138;      E;         90;      6; Encerrado!
       8;     139;      E;         50;      6; Encerrado!
       9;     140;      W;         70;      7; Encerrado!
       9;     141;      W;         60;      7; Encerrado!
       9;     142;      N;         10;      7; Encerrado!
       9;     143;      S;         70;      7; Encerrado!
       9;     144;      W;         50;      7; Encerrado!
       9;     145;      N;         90;      7; Encerrado!
       9;     146;      W;         50;      7; Encerrado!
       9;     147;      N;         10;      7; Encerrado!
       9;    1056;      E;         70;      0; Encerrado!
       9;     149;      W;         20;      7; Encerrado!
       9;     150;      W;        100;      7; Encerrado!
       9;     151;      E;         10;      7; Encerrado!
       9;     152;      N;         40;      7; Encerrado!
       9;     153;      S;         40;      7; Encerrado!
       9;     154;      S;         60;      7; Encerrado!
       9;     155;      N;         20;      7; Encerrado!
       9;     156;      E;         30;      7; Encerrado!
       9;     157;      E;        100;      7; Encerrado!
       9;     158;      E;         40;      7; Encerrado!
       9;     159;      S;         80;      7; Encerrado!
       9;     160;      E;         30;      7; Encerrado!
      10;     161;      W;        100;      8; Encerrado!
      10;    1166;      N;         60;      0; Encerrado!
      10;     163;      S;         70;      8; Encerrado!
      10;     164;      S;         40;      8; Encerrado!
      10;     165;      N;         70;      8; Encerrado!
      10;     166;      W;         40;      8; Encerrado!
      10;     167;      E;        100;      8; Encerrado!
      10;     168;      W;         50;      8; Encerrado!
      10;     169;      E;         20;      8; Encerrado!
      10;     170;      S;        100;      8; Encerrado!
      10;     171;      W;         50;      8; Encerrado!
      10;     172;      S;         40;      8; Encerrado!
      10;     173;      W;         70;      8; Encerrado!
      10;     174;      W;         70;      8; Encerrado!
      10;     175;      E;         70;      8; Encerrado!
      11;     176;      W;         10;      9; Encerrado!
      11;     177;      N;         50;      9; Encerrado!
      11;     178;      W;         90;      9; Encerrado!
      11;     179;      N;         90;      9; Encerrado!
      11;     180;      S;         80;      9; Encerrado!
      11;     181;      W;         30;      9; Encerrado!
      11;     182;      S;         10;      9; Encerrado!
      11;     183;      E;         90;      9; Encerrado!
      11;     184;      N;         40;      9; Encerrado!
      11;     185;      S;         10;      9; Encerrado!
      11;     186;      E;         10;      9; Encerrado!
      11;     187;      N;         40;      9; Encerrado!
      11;     188;      E;         40;      9; Encerrado!
      11;     189;      N;         80;      9; Encerrado!
      11;     190;      W;         70;      9; Encerrado!
      11;     191;      E;         70;      9; Encerrado!
      11;     192;      S;         40;      9; Encerrado!
      11;     193;      E;         20;      9; Encerrado!
      11;     194;      S;         50;      9; Encerrado!
      11;     195;      W;         80;      9; Encerrado!
      11;     196;      E;         80;      9; Encerrado!
      12;     197;      E;         20;     10; Encerrado!
      12;     198;      S;         60;     10; Encerrado!
      12;     199;      N;         60;     10; Encerrado!
      12;     200;      W;         50;     10; Encerrado!
      12;     201;      W;         90;     10; Encerrado!
      12;     202;      N;         30;     10; Encerrado!
      12;     203;      W;         60;     10; Encerrado!
      12;     204;      E;         60;     10; Encerrado!
      12;     205;      N;         50;     10; Encerrado!
      12;     206;      W;         60;     10; Encerrado!
      12;     207;      S;         60;     10; Encerrado!
      12;     208;      W;         40;     10; Encerrado!
      12;     209;      E;         10;     10; Encerrado!
      12;     210;      W;         40;     10; Encerrado!
      12;     211;      E;         90;     10; Encerrado!
      13;     212;      E;        100;     11; Encerrado!
      13;     213;      S;         80;     11; Encerrado!
      13;     214;      N;         30;     11; Encerrado!
      13;     215;      W;         40;     11; Encerrado!
      13;     216;      E;         50;     11; Encerrado!
      13;     217;      S;         90;     11; Encerrado!
      13;     218;      S;         20;     11; Encerrado!
      13;     219;      E;         60;     10; Encerrado!
      13;     220;      N;         60;     10; Encerrado!
      13;     221;      N;         40;     10; Encerrado!
      13;     222;      S;         20;     10; Encerrado!
      13;     223;      E;         60;     10; Encerrado!
      13;     224;      E;         30;     10; Encerrado!
      13;     225;      N;         70;     10; Encerrado!
      13;     226;      E;         20;     10; Encerrado!
      13;     227;      N;         20;     10; Encerrado!
      13;     228;      E;         10;     10; Encerrado!
      13;     229;      S;         80;     10; Encerrado!
      13;     230;      N;         10;     10; Encerrado!
      13;     231;      N;         50;     10; Encerrado!
      14;     232;      E;        100;     11; Encerrado!
      14;     233;      E;         50;     11; Encerrado!
      14;     234;      S;         60;     11; Encerrado!
      14;      40;      E;         40;     13; Encerrado!
      14;     236;      E;         90;     11; Encerrado!
      14;     237;      W;         30;     11; Encerrado!
      14;     238;      S;        100;     11; Encerrado!
      14;     239;      W;         70;     11; Encerrado!
      14;     240;      N;         50;     11; Encerrado!
      14;     241;      N;         30;     11; Encerrado!
      14;     242;      S;         10;     11; Encerrado!
      14;      41;      W;         20;     13; Encerrado!
      15;     244;      E;         40;     12; Encerrado!
      15;     245;      S;         20;     12; Encerrado!
      15;     246;      E;         40;     12; Encerrado!
      15;     247;      S;         10;     12; Encerrado!
      15;     248;      E;         20;     12; Encerrado!
      15;     249;      W;        100;     12; Encerrado!
      15;     250;      W;         60;     12; Encerrado!
      15;     251;      S;         30;     12; Encerrado!
      15;     252;      W;         70;     12; Encerrado!
      15;     253;      E;         60;     12; Encerrado!
      15;     254;      N;         60;     12; Encerrado!
      15;     255;      S;         90;     12; Encerrado!
      15;     256;      E;         30;     12; Encerrado!
      15;     257;      N;         10;     12; Encerrado!
      15;     258;      E;         80;     12; Encerrado!
      15;     259;      N;         80;     12; Encerrado!
      15;     260;      S;        100;     12; Encerrado!
      15;     261;      N;         70;     12; Encerrado!
      15;     262;      W;         90;     12; Encerrado!
      15;     263;      E;         60;     12; Encerrado!
      15;     264;      W;         40;     12; Encerrado!
      16;     265;      S;         90;     13; Encerrado!
      16;     266;      S;         70;     13; Encerrado!
      16;     267;      W;         10;     13; Encerrado!
      16;     268;      S;         20;     13; Encerrado!
      16;     269;      S;         30;     13; Encerrado!
      16;     270;      E;         50;     13; Encerrado!
      16;     271;      S;         20;     13; Encerrado!
      16;     272;      N;         40;     13; Encerrado!
      16;     273;      W;         20;     13; Encerrado!
      16;     274;      W;         70;     13; Encerrado!
      16;     275;      E;         20;     13; Encerrado!
      16;     276;      N;         40;     13; Encerrado!
      16;     277;      W;         30;     13; Encerrado!
      16;     278;      S;         80;     13; Encerrado!
      17;     279;      S;         70;     14; Encerrado!
      17;     280;      S;         50;     14; Encerrado!
      17;     281;      W;         40;     14; Encerrado!
      17;     282;      S;        100;     14; Encerrado!
      17;     283;      E;         70;     14; Encerrado!
      17;    2119;      E;         60;      0; Encerrado!
      17;     285;      E;         80;     14; Encerrado!
      17;     286;      E;         80;     14; Encerrado!
      17;     287;      W;         60;     14; Encerrado!
      17;     288;      S;         50;     14; Encerrado!
      17;     289;      S;         90;     14; Encerrado!
      17;     290;      S;         20;     14; Encerrado!
      17;     291;      E;         80;     14; Encerrado!
      17;     292;      S;         90;     14; Encerrado!
